Event ID  Meaning
00	The log was started.
01	The log was stopped.
02	The log was temporarily paused due to low disk space.
10	A new IP address was leased to a client.
11	A lease was renewed by a client.
12	A lease was released by a client.
13	An IP address was found to be in use on the network.
14	A lease request could not be satisfied because the scope's address pool was exhausted.
15	A lease was denied.
16	A lease was deleted.
17	A lease was expired and DNS records for an expired leases have not been deleted.
18	A lease was expired and DNS records were deleted.
20	A BOOTP address was leased to a client.
21	A dynamic BOOTP address was leased to a client.
22	A BOOTP request could not be satisfied because the scope's address pool for BOOTP was exhausted.
23	A BOOTP IP address was deleted after checking to see it was not in use.
24	IP address cleanup operation has began.
25	IP address cleanup statistics.
30	DNS update request to the named DNS server.
31	DNS update failed.
32	DNS update successful.
33	Packet dropped due to NAP policy.
50+	Codes above 50 are used for Rogue Server Detection information.

QResult: 0: NoQuarantine, 1:Quarantine, 2:Drop Packet, 3:Probation,6:No Quarantine Information ProbationTime:Year-Month-Day Hour:Minute:Second:MilliSecond.

ID,Date,Time,Description,IP Address,Host Name,MAC Address,User Name, TransactionID, QResult,Probationtime, CorrelationID.
11,04/29/18,13:28:52,Renew,192.168.16.77,faraday.iii.hogent.be,90E2BA3F0547,,577118757,0,,,
11,04/29/18,13:28:54,Renew,192.168.16.76,einstein.iii.hogent.be,90E2BA3F0552,,1825736852,0,,,
11,04/29/18,13:28:58,Renew,192.168.16.137,janacek.iii.hogent.be,000ACD1179AB,,2226802035,0,,,
11,04/29/18,13:29:05,Renew,192.168.16.124,wagner.iii.hogent.be,000ACD1170D1,,1102163448,0,,,
11,04/29/18,13:29:07,Renew,192.168.16.125,bach.iii.hogent.be,000ACD117078,,2026593572,0,,,
11,04/29/18,13:29:18,Renew,192.168.16.75,dirac.iii.hogent.be,90E2BA3F0500,,2520370363,0,,,
11,04/29/18,13:29:19,Renew,192.168.16.84,maxwell.iii.hogent.be,90E2BA3F0AC4,,302804372,0,,,
11,04/29/18,13:29:31,Renew,192.168.16.78,galilei.iii.hogent.be,90E2BA3F009C,,738845007,0,,,
11,04/29/18,13:30:00,Renew,192.168.16.93,volta.iii.hogent.be,90E2BA3F4B45,,3602689431,0,,,
11,04/29/18,13:30:12,Renew,192.168.16.95,yukawa.iii.hogent.be,90E2BA3F4C56,,4292132818,0,,,
11,04/29/18,13:30:15,Renew,192.168.16.83,lorentz.iii.hogent.be,90E2BA3F055A,,544778689,0,,,
11,04/29/18,13:30:15,Renew,192.168.16.128,delalande.iii.hogent.be,000ACD1170A7,,4213185667,0,,,
11,04/29/18,13:30:35,Renew,192.168.16.132,gershwin.iii.hogent.be,000ACD117064,,2230805289,0,,,
11,04/29/18,13:30:36,Renew,192.168.16.171,lagrange.iii.hogent.be,002401062DFF,,104255554,0,,,
11,04/29/18,13:30:39,Renew,192.168.16.127,xenakis.iii.hogent.be,000ACD117A0E,,4010600880,0,,,
11,04/29/18,13:30:52,Renew,192.168.16.120,yunkers.iii.hogent.be,001478EBA2BD,,2712400075,0,,,
11,04/29/18,13:31:00,Renew,192.168.16.94,wigner.iii.hogent.be,90E2BA3F4B89,,4260648841,0,,,
11,04/29/18,13:31:02,Renew,192.168.16.172,minkowski.iii.hogent.be,002401062E88,,3263848822,0,,,
11,04/29/18,13:31:09,Renew,192.168.16.81,joule.iii.hogent.be,90E2BA3F0521,,3026874250,0,,,
11,04/29/18,13:31:09,Renew,192.168.16.139,haydn.iii.hogent.be,000ACD1170D2,,1581899602,0,,,
11,04/29/18,13:31:18,Renew,192.168.16.170,kronecker.iii.hogent.be,002401062E24,,4234011821,0,,,
11,04/29/18,13:32:18,Renew,192.168.16.182,xenocrates.iii.hogent.be,0024010632B0,,3409727674,0,,,
11,04/29/18,13:32:35,Renew,192.168.16.89,rutherford.iii.hogent.be,90E2BA3F055B,,1991474489,0,,,
11,04/29/18,13:32:36,Renew,192.168.16.145,dvorak.iii.hogent.be,000ACD1170DA,,3990958405,0,,,
11,04/29/18,13:33:34,Renew,192.168.16.81,joule.iii.hogent.be,90E2BA3F0521,,2081010790,0,,,
11,04/29/18,13:34:18,Renew,192.168.16.91,torricelli.iii.hogent.be,90E2BA3F0386,,1409666782,0,,,
11,04/29/18,13:34:57,Renew,192.168.16.89,rutherford.iii.hogent.be,90E2BA3F055B,,1521474254,0,,,
11,04/29/18,13:36:48,Renew,192.168.16.170,kronecker.iii.hogent.be,002401062E24,,2956143076,0,,,
11,04/29/18,13:39:36,Renew,192.168.16.172,minkowski.iii.hogent.be,002401062E88,,3081883698,0,,,
11,04/29/18,13:41:46,Renew,192.168.16.184,zermelo.iii.hogent.be,002401062E72,,1790771603,0,,,
11,04/29/18,13:46:33,Renew,192.168.16.161,bernoulli.iii.hogent.be,002401062E82,,94425396,0,,,
10,04/29/18,13:51:13,Assign,192.168.16.32,mike-ThinkPad-Ubuntu.iii.hogent.be,F0761C02A1B8,,192836064,0,,,
11,04/29/18,13:53:08,Renew,192.168.16.126,corelli.iii.hogent.be,000ACD117083,,3756261443,0,,,
24,04/29/18,13:58:02,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,13:58:02,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,13:58:02,0 leases expired and 0 leases deleted,,,,,0,6,,,
11,04/29/18,14:02:33,Renew,192.168.16.184,zermelo.iii.hogent.be,002401062E72,,1510496851,0,,,
11,04/29/18,14:18:58,Renew,192.168.16.88,quimby.iii.hogent.be,90E2BA3F0391,,2612761886,0,,,
